time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,EMA,MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,Volume,Volume MA,MA,MA,MA,Histogram,MACD,Signal,RSI
2013-11-05T23:00:00Z,1757.25,1770,1755.75,1765.5,NaN,NaN,NaN,1738.1786345073,1759.8214285714278,1715.8737616002609,NaN,NaN,NaN,NaN,NaN,1762.125,1322195,1533175.85,NaN,1734.1071428571436,1655.5800000000156,0.4453391570524303,19.347109899577163,18.901770742524732,64.87810091142438
2013-11-06T23:00:00Z,1763.75,1774.5,1742.25,1745.25,NaN,NaN,NaN,1738.8214859157274,1756.6428571428564,1715.8737616002609,NaN,NaN,NaN,NaN,NaN,1756.4375,2463701,1541995,NaN,1738.7023809523816,1656.8200000000156,-1.1775105042866123,17.429882612166466,18.60739311645308,55.271753428857544
2013-11-07T23:00:00Z,1744.75,1768,1736.5,1766,NaN,NaN,NaN,1741.2922599233887,1757.4285714285706,1715.8737616002609,NaN,NaN,NaN,NaN,NaN,1753.8125,2071703,1567667.45,NaN,1742.5595238095245,1658.171666666682,-0.9783777128004729,17.384420975452485,18.36279868825296,61.5536780191202
2013-11-10T23:00:00Z,1767,1770.25,1762.75,1767.5,NaN,NaN,NaN,1743.6747817485352,1759.7857142857135,1715.8737616002609,NaN,NaN,NaN,NaN,NaN,1766.875,960010,1540190.05,NaN,1745.8214285714294,1659.4033333333489,-0.8739605953074765,17.270347944118612,18.14430853942609,61.96949363455294
2013-11-11T23:00:00Z,1767.75,1769.75,1758.5,1765,NaN,NaN,NaN,1745.6134379532139,1761.2499999999993,1715.8737616002609,NaN,NaN,NaN,NaN,NaN,1765.25,1419105,1517514.1,NaN,1748.7142857142865,1660.5850000000155,-1.0876618674556866,16.784731205106482,17.87239307256217,60.789424474578716
2013-11-12T23:00:00Z,1764.75,1782.25,1754.25,1778.75,NaN,NaN,NaN,1748.6258526847398,1763.4999999999989,1715.8737616002609,NaN,NaN,NaN,NaN,NaN,1770,1682642,1511792.85,NaN,1752.8452380952388,1661.8966666666822,-0.4500349709988498,17.309849358813608,17.759884329812458,64.76377576185399
2013-11-13T23:00:00Z,1779.75,1789,1777.25,1787.75,NaN,NaN,NaN,1752.1825933497635,1767.9642857142849,1730.7744791136042,NaN,NaN,NaN,NaN,NaN,1783.4375,1584763,1507570.25,NaN,1756.3928571428578,1663.5250000000156,0.38565429062922973,18.241952193098996,17.856297902469766,67.11344085719028
2013-11-14T23:00:00Z,1787.75,1796,1786.5,1793.5,NaN,NaN,NaN,1755.9387212270576,1771.9642857142849,1741.284531202244,NaN,NaN,NaN,NaN,NaN,1790.9375,1227567,1492071.55,NaN,1759.5238095238103,1665.0233333333488,1.0933906020900714,19.223036155082355,18.129645552992283,68.55609775429046
2013-11-17T23:00:00Z,1793.5,1799.75,1784.75,1788.75,NaN,NaN,NaN,1758.9215647518706,1778.1785714285706,1742.7810780820196,NaN,NaN,NaN,NaN,NaN,1791.6875,1559073,1513079.4,NaN,1762.0119047619055,1666.641666666682,1.0112502478830976,19.393708362846155,18.382458114963057,65.98111275284054
2013-11-18T23:00:00Z,1789.5,1793.75,1782,1785.25,NaN,NaN,NaN,1761.3150588653368,1780.9285714285706,1742.7810780820196,NaN,NaN,NaN,NaN,NaN,1787.625,1587851,1500228.95,NaN,1764.2500000000007,1668.3166666666823,0.5158036710896923,19.02721270382517,18.51140903273548,64.0714687548537
2013-11-19T23:00:00Z,1785.5,1794.25,1774.5,1779.75,NaN,NaN,NaN,1762.9909626048516,1782.6785714285706,1742.7810780820196,NaN,NaN,NaN,NaN,NaN,1783.5,2066306,1527542.55,NaN,1765.6904761904768,1669.8650000000155,-0.3415340592446867,18.084491458679622,18.42602551792431,61.07982491571581
2013-11-20T23:00:00Z,1779.5,1795.5,1775.75,1793.75,NaN,NaN,NaN,1765.7872387316831,1786.7857142857135,1742.7810780820196,NaN,NaN,NaN,NaN,NaN,1786.125,1390391,1534418.35,NaN,1768.1666666666674,1671.4500000000153,-0.13553222346350324,18.25661023859493,18.392142462058434,65.49616587958003
2013-11-21T23:00:00Z,1793.25,1803.25,1792,1801.25,NaN,NaN,NaN,1769.011126119712,1789.9999999999993,1749.091965329613,NaN,NaN,NaN,NaN,NaN,1797.4375,1240120,1533751.55,NaN,1770.6785714285725,1672.968333333349,0.31164538595242774,18.78169919449897,18.47005380854654,67.61615729767394
2013-11-24T23:00:00Z,1802,1809.25,1798.5,1802.5,NaN,NaN,NaN,1772.055569199738,1792.107142857142,1756.9702687966517,NaN,NaN,NaN,NaN,NaN,1803.0625,1114352,1531572.95,NaN,1772.9880952380963,1674.491666666682,0.48697480698569606,19.078772317278663,18.591797510292967,67.96939360760052
2013-11-25T23:00:00Z,1801.25,1807,1798.75,1802,1803.734375,1805.28125,1801.15625,1774.77779018158,1793.3214285714278,1758.1857419169864,NaN,NaN,NaN,NaN,NaN,1802.25,1095564,1526876.25,NaN,1775.0357142857154,1675.9600000000153,0.3699331663754464,19.054213968262275,18.68428080188683,67.65151656097163
